,ID,Fuel Type Code,Station Name,Street Address,City,State,Status Code,Expected Date,Groups With Access Code,Access Days Time,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date
1350,72897,ELEC,Oakbrook Terrace Tower,1 Tower Ln,Oakbrook Terrace,IL,E,,Private,24 hours daily; for employee and guest use only,,Non-Networked,,GPS,41.8579232,-87.9546118,10/11/2022,P,,,01/25/2016
1352,102158,ELEC,3030 North Broadway - Tesla Supercharger,3030 North Broadway,Chicago,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,200-9,41.937552,-87.644709,10/03/2022,P,,,04/01/2018
1377,98761,ELEC,Berman Nissan - Chicago,3456 N Kedzie Ave,Chicago,IL,E,,Private,,,Non-Networked,,GPS,41.943587,-87.708212,06/09/2020,P,,,06/06/2018
1378,231690,ELEC,The Arboretum of South Barrington - Tesla Supercharger,100 West Higgins Road,South Barrington,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,GPS,42.0751659,-88.186507,10/03/2022,P,,,09/22/2022
1380,184543,ELEC,"NAVSTA Great Lakes / N00128-B1H-1,2,3,4",8th St,Great Lakes,IL,E,,Private - Government only,,,Non-Networked,,GPS,42.308057,-87.837036,02/22/2021,FG,14.0,Department of Navy,01/15/2021
1382,184418,ELEC,ANL - Argonne National Laboratory,9700 Cass Ave,Argonne,IL,E,,Private - Government only,,,Non-Networked,,GPS,41.713695,-87.981879,02/22/2021,FG,8.0,U.S. Department of Energy,01/15/2021
1383,251568,ELEC,Siete 7,999 E Touhy Ave,Des Plaines,IL,E,,Private,Contact station for hours of availability,,AMPUP,https://ampup.io/,GPS,42.0086871,-87.8992551,02/13/2023,P,,,06/07/2022
1386,169013,ELEC,Parking Garage - 70 West Madison - Tesla Destination,11 N Clark St,Chicago,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.882312,-87.630943,10/06/2022,P,,,06/14/2018
1392,46822,ELEC,The Autobarn Nissan,1012 Chicago Ave,Evanston,IL,E,,Private,,,Non-Networked,,200-9,42.03616,-87.680149,03/07/2022,P,,,01/31/2012
1400,47210,ELEC,Al Piemonte Nissan,1600 W North Ave,Melrose Park,IL,E,,Private,,,Non-Networked,,200-9,41.907344,-87.854085,03/07/2022,P,,,01/31/2012
1415,114175,ELEC,"Stone Terrace, a Select Registry Property - Tesla Destination",1622 Forest Pl,Evanston,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,42.045779,-87.674557,10/06/2022,P,,,07/25/2017
1418,205811,ELEC,1800 Maple Self Park Garage - Tesla Supercharger,1800 Maple Avenue,Evanston,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,GPS,42.05036,-87.685634,10/03/2022,P,,,02/04/2022
1427,250947,ELEC,Taco Burrito King - Tesla Destination,23836 W Eames Street,Channahon,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,41.458025,-88.1925764,10/06/2022,P,,,03/23/2022
1428,122434,ELEC,Fast Park & Relax Chicago MDW - Tesla Destination,5230 S Cicero,Chicago,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.79721,-87.74639,10/06/2022,P,,,12/06/2018
1433,195696,ELEC,Target - Tesla Supercharger,2099 Skokie Valley Road,Highland Park,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,GPS,42.19115552,-87.82639,10/03/2022,P,,,09/03/2021
1435,46798,ELEC,Arlington Nissan,1100 W Dundee Rd,Arlington Heights,IL,E,,Private,,,Non-Networked,,200-9,42.139843,-87.996655,03/07/2022,P,,,01/31/2012
1450,114162,ELEC,Atlantic Aviation MDW - Tesla Destination,6150 S Laramie Ave,Chicago,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.780364,-87.752853,10/06/2022,P,,,03/26/2018
1465,122084,ELEC,Naval Facilities Engineering Command - Naval Station Great Lakes - Building 3,2601E Paul Jones St,Great Lakes,IL,E,,Private,Fleet use only,,Non-Networked,,GPS,42.313597,-87.83765,02/22/2021,FG,14.0,Department of Navy,02/01/2019
1468,114157,ELEC,Grant Park South - Tesla Destination,325 S Michigan Ave,Chicago,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.877475,-87.624245,10/06/2022,P,,,02/11/2016
1470,201929,ELEC,The Oaks of Oak Brook - Tesla Supercharger,1600 16th Street,Oak Brook,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,GPS,41.85434,-87.95846,10/03/2022,P,,,11/26/2021
1474,47199,ELEC,Liberty Nissan,920 S Milwaukee Ave,Libertyville,IL,E,,Public - Call ahead,Dealership business hours,,Non-Networked,,200-9,42.271355,-87.949478,06/09/2020,P,,,01/31/2012
1477,53859,ELEC,Golf Mill Ford,9401 N Milwaukee Ave,Niles,IL,E,,Public - Call ahead,Dealership business hours,,Non-Networked,,200-9,42.051495,-87.833913,09/10/2021,P,,,01/01/2013
1489,184775,ELEC,FERMI Site 38 Fuel Service Center,N Receiving Rd,Batavia,IL,E,,Private - Government only,Drivers must bring their own J1772 cordset for Level 1 charging,,Non-Networked,,GPS,41.858978,-88.28048,02/22/2021,FG,8.0,U.S. Department of Energy,01/15/2021
1497,46832,ELEC,Gerald Nissan - North Aurora,213 Hansen Blvd,North Aurora,IL,E,,Public - Call ahead,Dealership business hours,,Non-Networked,,200-9,41.798401,-88.37177,03/07/2022,P,,,01/31/2012
1501,114199,ELEC,Oak Brook Public Library - Tesla Destination,600 Oak Brook Rd,Oak Brook,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.833742,-87.937059,10/06/2022,P,,,05/17/2018
1506,114168,ELEC,Comfort Inn O'Hare - Convention Center - Tesla Destination,2175 Touhy Ave,Des Plaines,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,42.0096014,-87.8707864,10/06/2022,P,,,09/11/2017
1514,224563,ELEC,Meijer - Tesla Supercharger,400  South Randall Road,Algonquin,IL,E,,Public,24 hours daily; for Tesla use only,,Tesla,https://www.tesla.com/supercharger,GPS,42.17117032,-88.33661234,10/03/2022,P,,,07/25/2022
1528,114209,ELEC,Homewood Suites Chicago-Schaumburg - Tesla Destination,815 American Ln,Schaumburg,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,42.047578,-88.05899,10/06/2022,P,,,11/14/2017
1535,114215,ELEC,St. Andrews Golf Club - Tesla Destination,2241 IL-59,West Chicago,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,41.9224259,-88.2073922,10/06/2022,P,,,11/02/2017
1536,114145,ELEC,Vaughan Athletic Center - Tesla Destination,2121 W Indian Trl,Aurora,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.7821466,-88.3673209,10/06/2022,P,,,03/29/2018
1542,46811,ELEC,Jim M'Lady Nissan,5656 Northwest Hwy,Crystal Lake,IL,E,,Public - Call ahead,Dealership business hours; contact 815-459-2288 for more information,,Non-Networked,,200-9,42.226647,-88.306745,06/09/2020,P,,,01/31/2012
